HomHumanSymbol	MouseSymbol
CHST12	Chst12
MMP7	Mmp7
GREB1	Greb1
NSMCE2	Nsmce2
AVIL	Avil
XKR9	Xkr9
HIVEP3	Hivep3
GALE	Gale
SGO1	Sgo1
HTR1B	Htr1b
CD276	Cd276
SYT12	Syt12
ADRB1	Adrb1
PRKAG3	Prkag3
CEP57	Cep57
DEAF1	Deaf1
BRAT1	Brat1
BAALC	Baalc
RBM12	Rbm12
OXGR1	Oxgr1
D2HGDH	D2hgdh
DTX2	Dtx2
SPTSSB	Sptssb
URAD	Urad
UROC1	Uroc1
ESRP1	Esrp1
SRSF1	Srsf1
GALT	Galt
EHBP1L1	Ehbp1l1
MARCHF3	Marchf3
POLR1F	Polr1f
NOL4L	Nol4l
ADRB3	Adrb3
DCBLD2	Dcbld2
LRRC9	Lrrc9
TECPR1	Tecpr1
PAX7	Pax7
CRYM	Crym
PAX3	Pax3
SIRT3	Sirt3
TOR1A	Tor1a
BLOC1S6	Bloc1s6
PANK2	Pank2
MYCBPAP	Mycbpap
CAMK1D	Camk1d
CFAP107	Cfap107
MLF1	Mlf1
ENDOU	Endou
OSBPL10	Osbpl10
UTY	Uty
MBNL3	Mbnl3
KDM6A	Kdm6a
EXOSC1	Exosc1
ZBTB20	Zbtb20
C1orf146	1700028K03Rik
INO80D	Ino80d
ALDH16A1	Aldh16a1
BCL2L11	Bcl2l11
CREG1	Creg1
PROX2	Prox2
SHISA3	Shisa3
WNT3	Wnt3
UBAC2	Ubac2
NLRP10	Nlrp10
TTLL7	Ttll7
GRPR	Grpr
SFXN3	Sfxn3
DNAH1	Dnah1
ARHGAP5	Arhgap5
MS4A13	Ms4a13
MS4A18	Ms4a18
TTI1	Tti1
TMEM174	Tmem174
MS4A7	Ms4a7
MS4A6A	Ms4a6b
MS4A6E	Ms4a6b
MS4A1	Ms4a1
MS4A3	Ms4a3
AP1G2	Ap1g2
MS4A6A	Ms4a6c
MS4A6E	Ms4a6c
MS4A6A	Ms4a6d
MS4A6E	Ms4a6d
PLB1	Plb1
FKBP15	Fkbp15
CFAP65	Cfap65
CLPB	Clpb
EMD	Emd
ANXA1	Anxa1
ATP5MK	Atp5mk
MS4A2	Ms4a2
AADACL4	Aadacl4fm4
AADACL4	Aadacl4
AADACL4	Aadacl4fm5
MS4A10	Ms4a10
AADACL4	Aadacl4fm1
AADACL4	Aadacl4fm2
AADACL4	AAdacl4fm3
AADACL3	Aadacl3
BANF1	Banf1
PDE9A	Pde9a
ASRGL1	Asrgl1
MS4A5	Ms4a5
TMEM205	Tmem205
XK	Xk
OLIG3	Olig3
GDAP1L1	Gdap1l1
HSPG2	Hspg2
PRMT9	Prmt9
CA12	Car12
CFAP43	Cfap43
DMRT2	Dmrt2
CCDC73	Ccdc73
TNPO1	Tnpo1
RALGAPA1	Ralgapa1
PTPRG	Ptprg
EMG1	Emg1
SUMF1	Sumf1
WARS1	Wars1
ST7	St7
TRIM39	Trim39
TRIM17	Trim17
TCHP	Tchp
TRIM68	Trim68
TRIM58	Trim58
TRIM21	Trim21
TRIM11	Trim11
PITX1	Pitx1
HNRNPH3	Hnrnph3
TRIM27	Trim27
FLCN	Flcn
POLH	Polh
NFIX	Nfix
ING1	Ing1
REC8	Rec8
GPAT4	Gpat4
RPL31	Rpl31
C19orf53	D8Ertd738e
TRPM1	Trpm1
MYL2	Myl2
R3HDM4	R3hdm4
ENGASE	Engase
SLC39A1	Slc39a1
DNLZ	Dnlz
SLC39A3	Slc39a3
B4GALNT1	B4galnt1
RPS27L	Rps27l
SHQ1	Shq1
GMFG	Gmfg
MAVS	Mavs
RTN2	Rtn2
DENND1A	Dennd1a
CCDC170	Ccdc170
SLC39A14	Slc39a14
CREB3L2	Creb3l2
DMC1	Dmc1
TNIP1	Tnip1
ALKBH6	Alkbh6
PDYN	Pdyn
NFS1	Nfs1
MPL	Mpl
PDILT	Pdilt
SEC31B	Sec31b
PHF8	Phf8
SULT4A1	Sult4a1
UPK1A	Upk1a
TNFAIP6	Tnfaip6
ST3GAL1	St3gal1
CNPY2	Cnpy2
KCNH1	Kcnh1
CNPY4	Cnpy4
AP4E1	Ap4e1
ZNF827	Zfp827
RYR2	Ryr2
ST3GAL6	St3gal6
CYP21A1P	Cyp21a1
CYP21A2	Cyp21a1
ST6GAL1	St6gal1
TNXB	Tnxb
ST3GAL5	St3gal5
HS6ST3	Hs6st3
ST8SIA4	St8sia4
VWF	Vwf
ST6GALNAC6	St6galnac6
POMT2	Pomt2
ST8SIA5	St8sia5
CDT1	Cdt1
ST6GAL2	St6gal2
SESN2	Sesn2
ST6GALNAC4	St6galnac4
TTC7B	Ttc7b
ST8SIA6	St8sia6
GNL1	Gnl1
HYAL4	Hyal4
TBCK	Tbck
DDR1	Ddr1
VHL	Vhl
VHLL	Vhl
SALL4	Sall4
GALNS	Galns
WNT5A	Wnt5a
TRIM3	Trim3
TCF19	Tcf19
ABLIM3	Ablim3
RBM48	Rbm48
TMEM98	Tmem98
CD226	Cd226
ORMDL2	Ormdl2
SYNGR2	Syngr2
CACNA2D3	Cacna2d3
ACAP1	Acap1
RPL32	Rpl32
STRN	Strn
POU2F2	Pou2f2
PALM3	Palm3
AS3MT	As3mt
ATOH8	Atoh8
TTC13	Ttc13
NDP	Ndp
DYNC1I1	Dync1i1
KCNA6	Kcna6
FCRLB	Fcrlb
KCNJ8	Kcnj8
SLC3A2	Slc3a2
SLC16A12	Slc16a12
CD27	Cd27
TCAIM	Tcaim
OLAH	Olah
SIL1	Sil1
OGDH	Ogdh
SSH3	Ssh3
XKR5	Xkr5
CD84	Cd84
IGSF1	Igsf1
SLAMF7	Slamf7
LIPT2	Lipt2
TBC1D31	Tbc1d31
GALNT18	Galnt18
ASGR2	Asgr2
SOWAHC	Sowahc
ADORA2A	Adora2a
TRIOBP	Triobp
TNNT1	Tnnt1
PROM2	Prom2
G3BP2	G3bp2
KCNC1	Kcnc1
LINGO2	Lingo2
COG4	Cog4
PTCHD1	Ptchd1
CENPS	Cenps
CENPS-CORT	Cenps
ASGR1	Asgr1
PLEKHH1	Plekhh1
PRKAB2	Prkab2
LGSN	Lgsn
CASP6	Casp6
CPEB1	Cpeb1
INPP4A	Inpp4a
EHF	Ehf
ZFX	Zfa-ps
ZFY	Zfa-ps
RNPC3	Rnpc3
RXFP3	Rxfp3
USH1C	Ush1c
SERGEF	Sergef
GIMAP1-GIMAP5	Gimap3
GIMAP5	Gimap3
PDXP	Pdxp
SLC39A11	Slc39a11
ATP7B	Atp7b
LETMD1	Letmd1
SLC30A8	Slc30a8
PDK3	Pdk3
FUT9	Fut9
ZFX	Zfx
TRUB1	Trub1
DPT	Dpt
RGS19	Rgs19
SLC6A4	Slc6a4
PRDM11	Prdm11
CTSO	Ctso
CNPY1	Cnpy1
AASS	Aass
USP13	Usp13
SLC39A9	Slc39a9
LRRN3	Lrrn3
CYFIP2	Cyfip2
SLC35B3	Slc35b3
NCDN	Ncdn
KIF17	Kif17
CDCA3	Cdca3
PRDM6	Prdm6
KRT9	Krt9
CSF1	Csf1
MYLK2	Mylk2
RAB39B	Rab39b
PRDM13	Prdm13
KRT26	Krt26
TAF15	Taf15
PRDM2	Prdm2
KRT40	Krt40
SYPL1	Sypl1
CX3CR1	Cx3cr1
AGO1	Ago1
KRT31	Krt33a
KRT33A	Krt33a
KRT34	Krt33a
C1QTNF12	C1qtnf12
STXBP4	Stxbp4
CPXM2	Cpxm2
ANO5	Ano5
PRDM15	Prdm15
IQUB	Iqub
LY86	Ly86
FOXO4	Foxo4
TEX14	Tex14
MISP	Misp
FBXO34	Fbxo34
PRDM1	Prdm1
ZMYND8	Zmynd8
YLPM1	Ylpm1
FBXL7	Fbxl7
DEPDC1B	Depdc1b
THPO	Thpo
MIF	Mif
ARHGAP9	Arhgap9
NPC1L1	Npc1l1
SUSD4	Susd4
MTIF3	Mtif3
CRACR2B	Cracr2b
ADD2	Add2
USP12	Usp12
NFKBIE	Nfkbie
TMEM67	Tmem67
GRM8	Grm8
CORIN	Corin
RETREG2	Retreg2
KIF3C	Kif3c
SPOCK1	Spock1
SEC22C	Sec22c
ATP13A2	Atp13a2
PRR13	Prr13
CD44	Cd44
RHOH	Rhoh
KDM2A	Kdm2a
UGT2B28	Ugt2b5
CCDC78	Ccdc78
DELE1	Dele1
UGT2B7	Ugt2b36
ST8SIA3	St8sia3
F2RL1	F2rl1
UGT2B10	Ugt2b1
UGT2B11	Ugt2b1
UGT2B15	Ugt2b1
UGT2B17	Ugt2b1
UGT2B28	Ugt2b1
UGT2B4	Ugt2b1
UGT2B7	Ugt2b1
SLAMF9	Slamf9
CUBN	Cubn
TMEM41B	Tmem41b
SHANK2	Shank2
SLAMF6	Slamf6
GFRA3	Gfra3
KRT28	Krt28
SHPRH	Shprh
AKAP14	Akap14
PRTG	Prtg
NUMA1	Numa1
KRT27	Krt27
PLAG1	Plag1
TSFM	Tsfm
KRT36	Krt36
CEMIP2	Cemip2
KRT32	Krt32
EIF4G2	Eif4g2
KRT25	Krt25
LSG1	Lsg1
KRT35	Krt35
PA2G4	Pa2g4
KRT20	Krt20
METAP2	Metap2
APOC2	Apoc2l
APOC2	Apoc2
CFL1	Cfl1
MPHOSPH10	Mphosph10
NFYC	Nfyc
PRICKLE1	Prickle1
ELP5	Elp5
DOK2	Dok2
POLG	Polg
KAZN	Kazn
UGT2B10	Ugt2b34
UGT2B7	Ugt2b35
ICE2	Ice2
OGFOD2	Ogfod2
DNAJA2	Dnaja2
FANCF	Fancf
IPMK	Ipmk
LOXL4	Loxl4
SYT8	Syt8
PISD	Pisd
SLC12A5	Slc12a5
SCAPER	Scaper
IDS	Ids
PAPSS1	Papss1
GLB1L3	Glb1l3
DNTTIP2	Dnttip2
USH1G	Ush1g
FAM107A	Fam107a
P3H2	P3h2
MKX	Mkx
IL6ST	Il6st
SPINDOC	Spindoc
HBZ	Hba-x
ZNF142	Zfp142
C4orf54	1110002E22Rik
HFM1	Hfm1
DHX40	Dhx40
BEAN1	Bean1
CLRN2	Clrn2
ZNHIT6	Znhit6
CD34	Cd34
B3GNT8	B3gnt8
HYPK	Hypk
ITGB2	Itgb2
NPC2	Npc2
SLC18A2	Slc18a2
ITGB2	Itgb2l
GPR62	Gpr62
GLB1L2	Glb1l2
LYPLA1	Lypla1
HACE1	Hace1
SLF1	Slf1
C11orf16	BC051019
PPM1K	Ppm1k
FRK	Frk
CLEC3B	Clec3b
TTF2	Ttf2
DKK3	Dkk3
RETREG3	Retreg3
ECPAS	Ecpas
DDHD2	Ddhd2
TNRC6C	Tnrc6c
NSD1	Nsd1
SLC1A1	Slc1a1
STK26	Stk26
TLCD3A	Tlcd3a
PTPRN2	Ptprn2
SBNO1	Sbno1
TCF20	Zfp957
ZNF512B	Zfp512b
SUB1	Sub1
FAM20C	Fam20c
DQX1	Dqx1
TMIE	Tmie
KMT2A	Kmt2a
STPG4	Stpg4
ZBBX	Zbbx
ANKRD33	Ankrd33
VGLL1	Vgll1
CENPX	Cenpx
THAP2	Thap2
PLCE1	Plce1
ZPLD1	Zpld1
LNP1	Lnp1
LIMK1	Limk1
SETD5	Setd5
TMEM145	Tmem145
MTERF4	Mterf4
ELN	Eln
BICC1	Bicc1
THEMIS2	Themis2
INPP1	Inpp1
LRRN4CL	Lrrn4cl
STX19	Stx19
KMT5C	Kmt5c
PROCA1	Proca1
YPEL2	Ypel2
SLC22A7	Slc22a7
GALNT17	Galnt17
RPP25	Rpp25
EMILIN3	Emilin3
FOXE3	Foxe3
P4HB	P4hb
TRPM2	Trpm2
NSMF	Nsmf
TCF20	Tcf20
TRPM4	Trpm4
NT5DC3	Nt5dc3
WFIKKN2	Wfikkn2
NR2C2	Nr2c2
HYAL6P	Hyal6
NKPD1	Nkpd1
NR1H5P	Nr1h5
GCKR	Gckr
PCDHGA4	Pcdhga4
EP300	Ep300
LZTS3	Lzts3
SMDT1	Smdt1
NCOA6	Ncoa6
TTI2	Tti2
LRRC74B	Lrrc74b
GRIK2	Grik2
KIF21A	Kif21a
TMEM42	Tmem42
SP2	Sp2
GPR89A	Gpr89
GPR89B	Gpr89
TRDV3	Trdv5
GAL3ST4	Gal3st4
ALKAL1	Alkal1
TERT	Tert
CLCF1	Clcf1
RAI2	Rai2
RPL10A	Rpl10a
HDLBP	Hdlbp
REST	Rest
BCAR1	Bcar1
CEP85	Cep85
RPS28	Rps28
DDX20	Ddx20
EHD1	Ehd1
CD99L2	Cd99l2
ZBTB16	Zbtb16
FLRT3	Flrt3
GCNT3	Gcnt3
C2	C2
CFAP57	Cfap57
MYOM1	Myom1
SPATA1	Spata1
MMRN2	Mmrn2
KHNYN	Khnyn
CENPU	Cenpu
MYO9A	Myo9a
ERCC6L2	Ercc6l2
AREG	Areg
EIF2AK2	Eif2ak2
DPM1	Dpm1
KIAA0825	2210408I21Rik
PLCB2	Plcb2
CDAN1	Cdan1
TRIM62	Trim62
AQP11	Aqp11
N4BP3	N4bp3
ODR4	Odr4
REEP1	Reep1
GPRIN2	Gprin2
NLRC5	Nlrc5
NECTIN2	Nectin2
C3	C3
MYO15A	Myo15a
CCDC171	Ccdc171
TMED11P	Tmed11
KLHL5	Klhl5
GPR25	Gpr25
COL14A1	Col14a1
GAS8	Gas8
CHAC1	Chac1
USP8	Usp8
WBP1L	Wbp1l
GTF2H2	Gtf2h2
GTF2H2C	Gtf2h2
GTF2H2C_2	Gtf2h2
FILIP1	Filip1
TMEM39A	Tmem39a
WSB1	Wsb1
LASP1	Lasp1
THBD	Thbd
PSMB4	Psmb4
RBM27	Rbm27
LTC4S	Ltc4s
COQ9	Coq9
HMX2	Hmx2
CIC	Cic
EXOC3L1	Exoc3l
MEGF10	Megf10
PPARGC1A	Ppargc1a
MUC1	Muc1
NFXL1	Nfxl1
TRAV12-3	Trav7d-6
GPR63	Gpr63
TRAV12-1	Trav7d-2
TRAV12-2	Trav7d-2
TRAV12-3	Trav7d-2
DPM3	Dpm3
TRAV23DV6	Trav14n-3
UNC13D	Unc13d
TRAV5	Trav3-1
TGM3	Tgm3
TGM6	Tgm6
TRAV23DV6	Trav14-1
TGM7	Tgm7
DNAH5	Dnah5
SULT1B1	Sult1b1
SULT1A1	Sult1a1
SULT1A2	Sult1a1
SULT1A3	Sult1a1
SULT1A4	Sult1a1
FLNA	Flna
SULT1E1	Sult1e1
AFF2	Aff2
MSMB	Msmb
EVPL	Evpl
CHTOP	Chtop
RPL14	Rpl14
PUM1	Pum1
NDNF	Ndnf
CD248	Cd248
TOMM34	Tomm34
TRAV12-3	Trav7-3
LAMTOR5	Lamtor5
TRAV13-1	Trav10d
TRAV13-2	Trav10d
TRAV23DV6	Trav14-2
TRAV12-1	Trav7d-4
TRAV12-2	Trav7d-4
TRAV12-3	Trav7d-4
TRAV12-3	Trav7d-3
SLITRK2	Slitrk2
ATAD2B	Atad2b
TRAV13-1	Trav5-1
TRAV13-2	Trav5-1
CADM1	Cadm1
ATG14	Atg14
TRAV5	Trav3-4
IGDCC4	Igdcc4
BEST1	Best1
TRAV23DV6	Trav14d-3-dv8
ELFN2	Elfn2
ATP5F1E	Atp5f1e
ATP5F1EP2	Atp5f1e
TRAV12-1	Trav7n-5
TRAV12-2	Trav7n-5
TRAV12-3	Trav7n-5
IL2RG	Il2rg
UBXN2A	Ubxn2a
TRAV13-1	Trav10
TRAV13-2	Trav10
ADCK1	Adck1
SLC9B2	Slc9b2
TRAV12-1	Trav7-2
TRAV12-2	Trav7-2
TRAV12-3	Trav7-2
RNF139	Rnf139
SLC9B1	Slc9b1
LRRTM2	Lrrtm2
MID1	Mid1
ZNF618	Zfp618
KLHDC4	Klhdc4
SIN3A	Sin3a
NR0B2	Nr0b2
TBC1D30	Tbc1d30
GFRA4	Gfra4
SPSB2	Spsb2
KLHL31	Klhl31
TAF9B	Taf9b
CLCN6	Clcn6
TCAF2	Tcaf2
TCAF2C	Tcaf2
TCAF1	Tcaf1
TAF9	Taf9
TCAF2	Tcaf3
TCAF2C	Tcaf3
INPP5B	Inpp5b
SRPX2	Srpx2
KAT2A	Kat2a
HPN	Hpn
TMEM265	Tmem265
TRAV23DV6	Trav14n-2
TRAV12-1	Trav7-6
TRAV12-2	Trav7-6
TRAV12-3	Trav7-6
ITGA4	Itga4
KEL	Kel
PKN2	Pkn2
TECTA	Tecta
PTPRM	Ptprm
NEXMIF	Nexmif
ZNF407	Zfp407
RFT1	Rft1
MYOT	Myot
PJVK	Pjvk
CD63	Cd63
OPTC	Optc
TMCC3	Tmcc3
CTDSPL2	Ctdspl2
EPYC	Epyc
PHF14	Phf14
BEND6	Bend6
NFKBIA	Nfkbia
ACE3P	Ace3
STX5	Stx5a
SACS	Sacs
TRAV13-1	Trav10n
TRAV13-2	Trav10n
OAT	Oat
TRAV29DV5	Trav19
PHKB	Phkb
TRAV23DV6	Trav14-3
HIVEP2	Hivep2
TRAV12-1	Trav7-4
TRAV12-2	Trav7-4
TRAV12-3	Trav7-4
CAPN10	Capn10
SOST	Sost
MINDY4	Mindy4
UBOX5	Ubox5
GBE1	Gbe1
TGM5	Tgm5
CABIN1	Cabin1
LGI1	Lgi1
CERS5	Cers5
EXOSC8	Exosc8
NKTR	Nktr
TCERG1	Tcerg1
TRAV12-3	Trav7-1
TRAV12-1	Trav7-5
TRAV12-2	Trav7-5
TRAV12-3	Trav7-5
ALCAM	Alcam
TRAV12-3	Trav7n-6
LIN9	Lin9
TRAV12-1	Trav7d-5
TRAV12-2	Trav7d-5
TRAV12-3	Trav7d-5
LRCH1	Lrch1
TRAV12-1	Trav7n-4
TRAV12-2	Trav7n-4
TRAV12-3	Trav7n-4
TM7SF3	Tm7sf3
TRAV23DV6	Trav14n-1
DDX41	Ddx41
PKN3	Pkn3
KAT7	Kat7
RACGAP1	Racgap1
PIK3CB	Pik3cb
BFAR	Bfar
AHSA1	Ahsa1
COL13A1	Col13a1
PPHLN1	Pphln1
SNX4	Snx4
MARCKS	Marcks
ANKRD13A	Ankrd13a
SMURF2	Smurf2
CTDSP2	Ctdsp2
SMARCD1	Smarcd1
ACE	Ace
CCNT2	Ccnt2
PGAM1	Pgam1
PGAM4	Pgam1
FIGNL1	Fignl1
HNRNPAB	Hnrnpab
ALPK2	Alpk2
PKN1	Pkn1
C19orf67	1700067K01Rik
MICAL2	Mical2
NAV2	Nav2
NFAM1	Nfam1
GRIN2B	Grin2b
CD209	Cd209a
CLEC4M	Cd209a
CLEC4F	Clec4f
OGFRL1	Ogfrl1
DHX34	Dhx34
SLC36A3	Slc36a3
SMCR8	Smcr8
C3orf33	E130311K13Rik
CD247	Cd247
HCST	Hcst
ALDH1A3	Aldh1a3
LRRC28	Lrrc28
POU2AF2	Pou2af2
ECHDC3	Echdc3
RILPL1	Rilpl1
FAM47E	Fam47e
FAM47E-STBD1	Fam47e
FAM47A	Fam47c
FAM47B	Fam47c
FAM47C	Fam47c
FAM47DP	Fam47c
IER3	Ier3
CALHM6	Calhm6
LCOR	Lcor
CCDC13	Ccdc13
RORB	Rorb
LARGE1	Large1
OSBPL9	Osbpl9
ECE1	Ece1
SEMA4C	Sema4c
RBL2	Rbl2
NFASC	Nfasc
TRAV23DV6	Trav14d-2
TRAV5	Trav3d-3
ARHGAP30	Arhgap30
TRAV5	Trav3n-3
SYN3	Syn3
DBNDD2	Dbndd2
LRR1	Lrr1
SYCN	Sycn
TEDC1	Tedc1
SH3RF2	Sh3rf2
CD300LG	Cd300lg
FERRY3	D6Wsu163e
MRPL22	Mrpl22
SMPD5	Smpd5
PPEF1	Ppef1
MINDY3	Mindy3
IGDCC3	Igdcc3
VPS37C	Vps37c
IGSF11	Igsf11
LIN52	Lin52
TMIGD1	Tmigd1
TSR1	Tsr1
C1QTNF9	C1qtnf9
C1QTNF9B	C1qtnf9
MRPS28	Mrps28
CCDC88B	Ccdc88b
GK5	Gk5
SIGIRR	Sigirr
ZRANB1	Zranb1
SRL	Srl
NFIC	Nfic
WDSUB1	Wdsub1
MYOM3	Myom3
STAT2	Stat2
FOXP3	Foxp3
LRFN5	Lrfn5
FOXE1	Foxe1
LRRC3	Lrrc3
SDC4	Sdc4
LRRC38	Lrrc38
OCRL	Ocrl
LRRC3C	Lrrc3c
SLC36A1	Slc36a1
LRRC4B	Lrrc4b
SLC36A2	Slc36a2
PRELP	Prelp
SLC5A8	Slc5a8
FLRT1	Flrt1
TEX264	Tex264
ELFN1	Elfn1
CLUH	Cluh
TMEM259	Tmem259
N4BP2	N4bp2
RRN3	Rrn3
RRN3P1	Rrn3
RRN3P2	Rrn3
ADPGK	Adpgk
NPY1R	Npy1r
TRAV8-1	Trav9n-2
TRAV8-3	Trav9n-2
DALRD3	Dalrd3
TBRG1	Tbrg1
TRAV8-1	Trav9d-4
TRAV8-3	Trav9d-4
MRPL52	Mrpl52
TRAV8-1	Trav9d-1
TRAV8-3	Trav9d-1
MAN2A2	Man2a2
TRAV8-1	Trav9n-3
TRAV8-3	Trav9n-3
UBE2O	Ube2o
TRAV8-1	Trav9d-3
TRAV8-3	Trav9d-3
ZNHIT2	Znhit2
TRAV8-1	Trav9d-2
TRAV8-3	Trav9d-2
TRAV8-1	Trav9-4
TRAV8-3	Trav9-4
TRAV8-1	Trav9-2
TRAV8-3	Trav9-2
TRAV9-2	Trav6-4
GOLT1A	Golt1a
RAD21L1	Rad21l
PLPP1	Plpp1
TUBB1	Tubb1
CSK	Csk
BMERB1	Bmerb1
SLITRK5	Slitrk5
ARHGEF25	Arhgef25
KIF1C	Kif1c
ZNF335	Zfp335
AGPAT1	Agpat1
MAP9	Map9
LIG1	Lig1
DNAJC1	Dnajc1
FMN2	Fmn2
JUP	Jup
TELO2	Telo2
RCN1	Rcn1
ZNF366	Zfp366
MTMR10	Mtmr10
UTP20	Utp20
MFAP4	Mfap4
UGGT1	Uggt1
PPP1R26	Ppp1r26
EPHX4	Ephx4
SPACDR	Tsc22d4
TSC22D4	Tsc22d4
GGT5	Ggt5
PLEKHA2	Plekha2
ZNF362	Zfp362
SLC9A1	Slc9a1
H6PD	H6pd
TRAV26-2	Trav21-dv12
SLC25A22	Slc25a22
LRRN2	Lrrn2
SMIM13	Smim13
TRAV4	Trav2
PRSS27	Prss27
TPSG1	Tpsg1
ABTB1	Abtb1
AKAP13	Akap13
TRAV8-3	Trav17
CYP4V2	Cyp4v3
DEGS2	Degs2
FBXO11	Fbxo11
RNF207	Rnf207
GFOD2	Gfod2
DMGDH	Dmgdh
OPN3	Opn3
NOD2	Nod2
CAMTA1	Camta1
CYLD	Cyld
SLC9A6	Slc9a6
TBC1D32	Tbc1d32
IDO2	Ido2
KCNH5	Kcnh5
IDO1	Ido1
ATF7IP	Atf7ip
ACTA2	Acta2
OST4	Ost4
TRAV18	Trav12-1
SYNE4	Syne4
SLC26A6	Slc26a6
TRAV18	Trav12d-1
ATF6B	Atf6b
H3C1	H3c8
H3C10	H3c8
H3C11	H3c8
H3C12	H3c8
H3C2	H3c8
